"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"sen",686109232,191850.840594,197424.220926,203159.511251,209061.415151,215134.772849,221384.565177,227815.917668,234434.10475,241244.554079,248252.850987,255464.743063,262886.144868,270523.142782,278382,286469.161666,294791.260159,303355.120533,312167.766114,321236.424258,330568.532282,340171.743561
"sen",686109233,69753.7298772,71780.1169652,73865.371796,76011.2045123,78219.3749376,80491.6940191,82830.0253131,85236.2865136,87712.4510244,90260.5495781,92882.671901,95580.9684275,98357.6520632,101215,104155.355583,107181.130235,110294.805428,113498.934727,116796.145876,120189.142958,123680.708611
"sen",686109234,65238.3276329,67133.5396164,69083.8086284,71090.7341081,73155.9619593,75281.1859006,77468.1488536,79718.6443732,82034.5181181,84417.6693643,86870.052563,89393.6789434,91990.618162,94663,97413.0161102,100242.921814,103155.037952,106151.752784,109235.523955,112408.8805,115674.42493
"sen",686109235,143123.503035,147281.325406,151559.934975,155962.840681,160493.6534,165156.088908,169953.970923,174891.234247,179971.927989,185200.218888,190580.394728,196116.867857,201814.178803,207677,213710.139619,219918.54551,226307.309262,232881.670378,239647.020571,246608.908187,253773.042753
"sen",686109236,112634.889591,115906.999718,119274.166578,122739.151627,126304.796539,129974.025544,133749.84782,137635.359966,141633.748536,145748.292658,149982.366719,154339.443135,158823.095196,163437,168184.941466,173070.813439,178098.62288,183272.493158,188596.667426,194075.512104,199713.520459
"sen",686109237,336837.842968,346623.181428,356692.789756,367054.926158,377718.088748,388691.022515,399982.726494,411602.46115,423559.755966,435864.417265,448526.536248,461556.497274,474964.986369,488763,502961.854083,517573.193271,532609.0005,548081.606818,564003.701495,580388.342436,597248.966881
"sen",686109238,257202.880279,264674.775997,272363.734703,280276.062205,288418.247497,296796.968086,305419.095461,314291.700734,323422.060434,332817.662481,342486.212322,352435.639252,362674.102915,373210,384051.971124,395208.907918,406689.960322,418504.544085,430662.34849,443173.344301,456047.791935
"sen",686109239,54114.5322078,55686.5913584,57304.3197566,58969.0441211,60682.1297125,62444.981453,64259.0450787,66125.8083251,68046.8021473,70023.6019757,72057.8290077,74151.1515375,76305.2863243,78522,80803.1105184,83150.4886459,85566.0594957,88051.8041066,90609.7610679,93242.028191,95950.7642302
"sen",686109240,65963.3281154,67879.6017915,69851.5443507,71880.7730069,73968.9519552,76117.7937364,78329.0606417,80604.5661577,82946.1764541,85355.8119139,87835.4487083,90387.1204173,93012.919698,95715,98495.5773321,101356.932079,104301.410874,107331.428518,110449.469965,113658.09236,116959.927132
"sen",686109241,15237.4150826,15680.0709984,16135.5863302,16604.3346517,17086.700389,17583.0791361,18093.8779793,18619.5158308,19160.4237727,19717.04541,20289.8372349,20879.269001,21485.8241083,22110,22752.3085704,23413.2765844,24093.44611,24793.3749624,25513.6371617,26254.8234037,27017.5415441
"sen",686109242,245981.912736,253127.832714,260481.345891,268048.482974,275835.449861,283848.632741,292094.603319,300580.124218,309312.154515,318297.855454,327544.596318,337059.960469,346851.751575,356928,367296.969399,377967.163488,388947.333023,400246.482975,411873.879912,423839.059603,436151.834838
"sen",686109243,169527.441708,174452.314106,179520.256959,184735.426547,190102.099895,195624.678276,201307.690824,207155.798246,213173.796646,219366.621456,225739.351489,232297.213096,239045.584459,245990,253136.154917,260489.90986,268057.29573,275844.518634,283857.964966,292104.206652,300590.006533
"sen",686109244,95162.5157967,97927.0431361,100771.881629,103699.364362,106711.892199,109811.93575,113002.037399,116284.813387,119662.955958,123139.235567,126716.503154,130397.69248,134185.822531,138084,142095.421829,146223.377833,150471.253399,154842.532262,159340.799359,163969.743775,168733.161763
"sen",686109245,107575.736985,110700.875738,113916.801619,117226.152048,120631.641064,124136.061548,127742.287519,131453.276487,135272.071878,139201.805532,143245.700272,147407.072545,151689.335143,156096,160630.681076,165297.097319,170099.075712,175040.554416,180125.585997,185358.340752,190743.110125
"sen",686109246,255508.915274,262931.600307,270569.918728,278430.134815,286518.694826,294842.232287,303407.573432,312221.7428,321291.968999,330625.690631,340230.562393,350114.461359,360285.493432,370752,381522.564771,392606.020815,404011.45781,415748.229491,427825.961328,440254.558415,453044.213595
"sen",686109247,204334.356505,210270.390354,216378.869496,222664.803567,229133.34774,235789.806944,242639.640224,249688.465209,256942.062727,264406.381541,272087.543229,279991.847205,288125.775884,296496,305109.384074,313972.992048,323094.093072,332480.167474,342138.912885,352078.250561,362306.331871
"sen",686109248,166567.482514,171406.366348,176385.822617,181509.935035,186782.905948,192209.059783,197792.846594,203538.845714,209451.769504,215536.467226,221797.929014,228241.289968,234871.834367,241695,248716.382628,255941.740573,263376.999437,271028.256967,278901.78805,287004.049867,295341.687178
"sen",686109249,35362.3809461,36389.6790171,37446.8207044,38534.6729826,39654.1280126,40806.103873,41991.5453131,43211.4245279,44466.7419549,45758.5270953,47087.8393577,48455.7689271,49863.4376591,51312,52802.6439332,54336.5919538,55915.1020713,57539.4688408,59211.0244252,60931.1396874,62701.2253149
"sen",686109250,166708.071961,171551.040002,176534.699126,181663.136495,186940.558001,192371.291721,197959.791466,203710.640432,209628.554961,215718.388405,221985.13511,228433.934512,235070.075349,241899,248926.308949,256157.765377,263599.29989,271257.015379,279137.19203,287246.292471,295590.967073
"sen",686109251,164437.276724,169214.27682,174130.051593,179188.632529,184394.168232,189750.927824,195263.304449,200935.818874,206773.123196,212780.004659,218961.389579,225322.347386,231868.094777,238604,245535.587251,252668.54121,260008.711697,267562.118477,275334.956189,283333.599431,291564.607987
"sen",686109252,187879.877875,193337.899393,198954.479662,204734.224909,210681.875171,216802.30819,223100.543406,229581.746079,236251.23152,243114.469456,250177.088511,257444.880825,264923.806802,272620,280539.77216,288689.618383,297076.222456,305706.462336,314587.415786,323726.366183,333130.808492
"sen",686109253,104289.803239,107319.483674,110437.178117,113645.443427,116946.91074,120344.28763,123840.360328,127437.996004,131140.145123,134949.843863,138870.216603,142904.478488,147055.938067,151328,155724.167858,160248.046991,164903.347487,169693.887214,174623.594953,179696.513615,184916.803564
"sen",686109254,100320.218849,103234.580511,106233.606102,109319.755159,112495.558671,115763.621153,119126.622781,122587.321595,126148.555755,129813.245872,133584.397404,137465.103118,141458.545626,145568,149796.836453,154148.523104,158626.628826,163234.826166,167976.894362,172856.722444,177878.312415
"sen",686109255,178552.732885,183739.795327,189077.545,194570.359455,200222.743418,206039.332477,212024.896886,218184.345479,224522.729695,231045.24772,237757.248749,244664.237376,251771.878106,259086,266612.601459,274357.85514,282328.113019,290529.911601,298969.977281,307655.231857,316592.798214
"sen",686109256,460233.338578,473603.389132,487361.847558,501519.997334,516089.449731,531082.153333,546510.403838,562386.85414,578724.524709,595536.814266,612837.510773,630640.802741,648961.290866,667814,687214.39148,707178.3758,727722.325667,748863.089422,770618.004862,793004.913456,816042.174978
"sen",686109257,174052.492248,179108.820039,184312.037142,189666.410777,195176.332132,200846.319959,206681.024285,212685.23022,218863.861887,225221.986457,231764.818304,238497.723284,245426.223134,252556,259892.901099,267442.943512,275212.319121,283207.399683,291434.742063,299901.093602,308613.397658
"sen",686109258,34957.1525396,35972.6784858,37017.7060611,38093.0923053,39199.7191556,40338.4941701,41510.3512719,42716.2515153,43957.1838736,45234.1660505,46548.2453145,47900.499358,49292.0371808,50724,52197.5621856,53713.9322238,55274.353708,56880.1063587,58532.5070733,60232.9110053,61982.7126768
