"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"lso",426650346,35404.744147,35563.333546,35722.6333187,35882.646647,36043.3767272,36204.8267699,36367,36529.8996569,36693.5289945,36857.8912813,37022.9898004,37188.8278496,37355.4087415,37522.7358036,37690.8123782,37859.6418226,38029.2275092,38199.5728254,38370.6811738,38542.5559723,38715.2006542
"lso",426650347,17557.8013224,17636.4484423,17715.4478484,17794.8011186,17874.5098379,17954.5755986,18035,18115.7846485,18196.9311578,18278.4411488,18360.3162496,18442.5580957,18525.1683299,18608.1486023,18691.5005703,18775.2258991,18859.3262609,18943.8033356,19028.6588107,19113.8943812,19199.5117496
"lso",426650348,21145.2977389,21240.0144257,21335.1553794,21430.7225004,21526.7176978,21623.1428889,21720,21817.2909657,21915.0177293,22013.182243,22111.7864675,22210.8323726,22310.3219365,22410.2571467,22510.6399993,22611.4724995,22712.7566613,22814.4945079,22916.6880715,23019.3393934,23122.4505241
"lso",426650349,21423.6344064,21579.6601439,21736.8221981,21895.1288444,22054.5884189,22215.2093181,22377,22539.9689838,22704.124851,22869.4762456,23036.0318743,23203.8005075,23372.7909794,23543.0121884,23714.473098,23887.1827365,24061.1501985,24236.3846445,24412.8953017,24590.6914647,24769.7824957
"lso",426650350,18005.7332208,18136.8667975,18268.9554042,18402.0059962,18536.0255796,18671.0212114,18807,18943.9691057,19081.9357409,19220.9071703,19360.8907119,19501.8937366,19643.9236694,19786.9879889,19931.0942286,20076.2499766,20222.4628763,20369.7406269,20518.0909836,20667.5217579,20818.0408185
"lso",426650351,24856.8539167,25037.8833766,25220.2312521,25403.9071451,25588.9207275,25775.2817414,25963,26152.085388,26342.547862,26534.3974511,26727.6442576,26922.2984572,27118.3702998,27315.8701099,27514.8082872,27715.1953072,27917.0417216,28120.358159,28325.1553255,28531.4440049,28739.2350599
"lso",426650352,22483.4709925,22647.2153917,22812.1523215,22978.2904671,23145.6385766,23314.2054622,23484,23655.0311309,23827.3078608,24000.8392613,24175.63447,24351.7026911,24529.0531957,24707.6953226,24887.6384785,25068.8921386,25251.4658472,25435.369218,25620.6119348,25807.2037519,25995.1544947
"lso",426650353,18414.5168845,18497.001513,18579.855617,18663.0808515,18746.6788791,18830.6513694,18915,18999.7264556,19084.8324286,19170.319619,19256.1897345,19342.4444902,19429.0856091,19516.1148218,19603.5338668,19691.3444902,19779.548446,19868.1474961,19957.1434103,20046.5379662,20136.3329495
"lso",426650354,22070.1666623,21982.2683425,21894.7200932,21807.5205202,21720.6682348,21634.161854,21548,21462.1813008,21376.7043896,21291.5679052,21206.7704919,21122.3107992,21038.187482,20954.3992008,20870.9446211,20787.822414,20705.0312556,20622.5698276,20540.4368168,20458.6309151,20377.1508198
"lso",426650355,21699.2422331,21796.440218,21894.0735843,21992.1442823,22090.654271,22189.605518,22289,22388.8397023,22489.1266191,22589.8627538,22691.0501185,22792.6907344,22894.7866318,22997.3398501,23100.3524376,23203.8264521,23307.7639605,23412.1670389,23517.0377728,23622.3782569,23728.1905953
"lso",426650356,19205.3877429,19128.8989089,19052.7147052,18976.8339184,18901.2553402,18825.977767,18751,18676.3208451,18601.9391131,18527.8536194,18454.0631842,18380.5666324,18307.3627935,18234.4505018,18161.8285962,18089.49592,18017.4513214,17945.6936532,17874.2217724,17803.034541,17732.1308252
"lso",426650357,16130.591079,16202.8452587,16275.4230884,16348.3260179,16421.5555034,16495.1130077,16569,16643.2179563,16717.768359,16792.6526972,16867.8724669,16943.4291704,17019.3243171,17095.5594228,17172.1360105,17249.0556097,17326.3197569,17403.9299954,17481.8878755,17560.1949544,17638.8527962
"lso",426650358,25939.0107254,26055.2000165,26171.9097573,26289.1422791,26406.8999236,26525.185043,26644,26763.347168,26883.2289309,27003.6476833,27124.6058306,27246.1057889,27368.1499851,27490.7408572,27613.8808537,27737.5724344,27861.8180701,27986.6202425,28111.9814446,28237.9041803,28364.3909651
"lso",426650359,23252.0391896,23356.1926585,23460.8126649,23565.9012983,23671.4606581,23777.4928527,23884,23990.9842276,24098.4476725,24206.3924812,24314.8208099,24423.7348244,24533.1367004,24643.028623,24753.4127875,24864.2913986,24975.6666712,25087.5408299,25199.9161095,25312.7947547,25426.1790201
"lso",426650360,24957.116816,24806.8536401,24657.495177,24509.0359795,24361.4706333,24214.7937565,24069,23924.0840465,23780.0406109,23636.8644399,23494.5503118,23353.0930365,23212.4874548,23072.728439,22933.8108918,22795.7297471,22658.4799689,22522.0565516,22386.4545199,22251.6689284,22117.6948614
"lso",426650361,20844.4102559,20996.217574,21149.1304865,21303.1570452,21458.3053607,21614.5836026,21772,21930.562842,22090.280478,22251.1613182,22413.2138342,22576.4465589,22740.8680879,22906.487079,23073.3122532,23241.3523949,23410.6163526,23581.1130393,23752.8514327,23925.840576,24100.0895784
