"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"mdg",450652780,7357.12833522,7510.31932693,7666.70007948,7826.33701047,7989.29792041,8155.65202159,8325.46996743,8498.82388252,8675.78739323,8856.43565897,9040.84540416,9229.09495075,9421.26425155,9617.43492413,9817.69028554,10022.1153876,10230.7970533,10443.8239131,10661.2864432,10883.2770038,11109.8898779
"mdg",450652781,23776.3467381,24323.3684362,24882.9754463,25455.457318,26041.110263,26640.2373079,27253.1484507,27880.1608219,28521.5988479,29177.7944194,29849.0870628,30535.8241159,31238.3609079,31957.0609429,32692.2960881,33444.4467662,34213.9021525,35001.0603759,35806.3287249,36630.1238588,37472.8720227
"mdg",450652782,5600.71421274,5729.56967709,5861.38971526,5996.2425331,6134.19790569,6275.32721341,6419.70347889,6567.40140479,6718.49741245,6873.06968145,7031.19819001,7192.96475644,7358.45308142,7527.74879134,7700.9394826,7878.11476692,8059.36631769,8244.78791748,8434.47550646,8628.52723213,8827.04350005
"mdg",450652783,13396.4084726,13704.6192416,14019.9210065,14342.4769097,14672.4538469,15010.0225537,15355.3576936,15708.6379487,16070.0461121,16439.7691823,16817.9984601,17204.9296475,17600.7629493,18005.703176,18419.9598503,18843.7473156,19277.2848464,19720.7967622,20174.5125434,20638.6669499,21113.5001431
"mdg",450652784,14004.3893041,14326.5878699,14656.1992485,14993.3939862,15338.3465531,15691.2354334,16052.2432177,16421.5566972,16799.3669609,17185.869494,17581.2642794,17985.7559007,18399.5536487,18822.8716291,19255.9288736,19698.9494532,20152.162594,20615.802796,21090.1099542,21575.329483,22071.7124431
"mdg",450652785,13827.3327879,14145.4578197,14470.9019446,14803.8335528,15144.4249085,15492.8522393,15849.2958274,16213.9401023,16586.9737373,16968.5897459,17358.9855825,17758.3632446,18166.9293765,18584.8953772,19012.4775092,19449.8970106,19897.3802093,20355.1586405,20823.4691665,21302.5540987,21792.6613236
"mdg",450652786,12775.4087795,13069.3322272,13370.0179628,13677.6215661,13992.3021963,14314.2226744,14643.5495673,14980.4532741,15325.1081145,15677.6924184,16038.3886189,16407.3833461,16784.8675239,17171.036469,17566.0899914,17970.2324983,18383.6730998,18806.6257169,19239.3091922,19681.9474033,20134.7693784
"mdg",450652787,6370.12892676,6516.68629242,6666.61549901,6819.99412238,6976.90152314,7137.41888778,7301.62927062,7469.61763683,7641.47090636,7817.27799891,7997.12987999,8181.11960791,8369.34238201,8561.89559183,8758.87886759,8960.39413169,9166.54565144,9377.44009303,9593.18657674,9813.89673334,10039.6847619
"mdg",450652788,4685.48825003,4793.28713804,4903.56615184,5016.38235161,5131.79411032,5249.8611439,5370.6445422,5494.20680052,5620.61185203,5749.92510077,5882.21345557,6017.54536458,6155.99085077,6297.62154813,6442.5107387,6590.73339055,6742.36619651,6897.4876139,7056.17790511,7218.51917909,7384.59543391
"mdg",450652789,29838.0505982,29848.1345794,29858.2219686,29868.3127669,29878.4069755,29888.5045955,29898.605628,29908.7100742,29918.8179353,29928.9292125,29939.0439068,29949.1620194,29959.2835516,29969.4085044,29979.5368789,29989.6686765,29999.8038981,30009.942545,30020.0846184,30030.2301193,30040.379049
"mdg",450652790,14929.4684079,14934.5139279,14939.561153,14944.6100839,14949.660721,14954.7130651,14959.7671167,14964.8228763,14969.8803445,14974.939522,14980.0004092,14985.0630068,14990.1273153,14995.1933354,15000.2610675,15005.3305124,15010.4016704,15015.4745423,15020.5491287,15025.62543,15030.7034469
"mdg",450652791,4613.06928143,4614.62830098,4616.18784741,4617.74792089,4619.30852162,4620.86964976,4622.4313055,4623.99348901,4625.55620047,4627.11944006,4628.68320795,4630.24750434,4631.81232939,4633.37768328,4634.94356619,4636.50997831,4638.0769198,4639.64439086,4641.21239165,4642.78092236,4644.34998317
"mdg",450652792,5270.28893155,5272.07006315,5273.85179669,5275.63413238,5277.41707043,5279.20061103,5280.9847544,5282.76950072,5284.55485022,5286.34080308,5288.12735952,5289.91451974,5291.70228395,5293.49065234,5295.27962512,5297.0692025,5298.85938469,5300.65017187,5302.44156426,5304.23356207,5306.0261655
"mdg",450652793,14055.0320938,14059.7820918,14064.5336951,14069.2869042,14074.0417197,14078.7981421,14083.556172,14088.3158099,14093.0770563,14097.8399118,14102.604377,14107.3704524,14112.1381385,14116.9074359,14121.678345,14126.4508666,14131.2250011,14136.000749,14140.7781109,14145.5570873,14150.3376789
"mdg",450652794,4170.28146631,4171.69084257,4173.10069514,4174.51102417,4175.92182984,4177.3331123,4178.74487171,4180.15710823,4181.56982203,4182.98301327,4184.39668211,4185.8108287,4187.22545322,4188.64055582,4190.05613666,4191.47219591,4192.88873372,4194.30575026,4195.7232457,4197.14122019,4198.55967389
"mdg",450652795,21008.7501715,21015.8502279,21022.9526839,21030.0575401,21037.1647975,21044.2744569,21051.386519,21058.5009846,21065.6178547,21072.73713,21079.8588112,21086.9828993,21094.109395,21101.2382992,21108.3696127,21115.5033362,21122.6394706,21129.7780167,21136.9189753,21144.0623473,21151.2081334
"mdg",450652796,12262.9946156,12267.1389818,12271.2847486,12275.4319165,12279.5804859,12283.7304574,12287.8818314,12292.0346084,12296.1887889,12300.3443732,12304.501362,12308.6597557,12312.8195548,12316.9807596,12321.1433708,12325.3073888,12329.472814,12333.6396469,12337.8078881,12341.977538,12346.148597
"mdg",450652797,5610.03807271,5611.93402495,5613.83061793,5615.72785188,5617.62572702,5619.52424355,5621.42340171,5623.32320169,5625.22364373,5627.12472804,5629.02645483,5630.92882432,5632.83183673,5634.73549228,5636.63979118,5638.54473366,5640.45031992,5642.35655019,5644.26342468,5646.17094362,5648.07910721
"mdg",450652798,8031.44691075,8034.16119531,8036.87639718,8039.59251667,8042.30955409,8045.02750976,8047.74638398,8050.46617706,8053.18688931,8055.90852105,8058.63107258,8061.35454422,8064.07893628,8066.80424906,8069.53048289,8072.25763806,8074.98571489,8077.7147137,8080.44463479,8083.17547848,8085.90724507
"mdg",450652799,12065.2717548,12069.3492991,12073.4282215,12077.5085224,12081.5902022,12085.6732615,12089.7577006,12093.8435201,12097.9307205,12102.0193022,12106.1092656,12110.2006113,12114.2933396,12118.3874511,12122.4829463,12126.5798255,12130.6780894,12134.7777382,12138.8787726,12142.981193,12147.0849997
"mdg",450652800,6891.05942463,6893.38830714,6895.7179767,6898.0484336,6900.37967809,6902.71171044,6905.04453091,6907.37813978,6909.71253731,6912.04772377,6914.38369941,6916.72046452,6919.05801936,6921.39636418,6923.73549927,6926.07542489,6928.4161413,6930.75764877,6933.09994757,6935.44303797,6937.78692023
"mdg",450652801,14831.999392,14837.0119716,14842.0262453,14847.0422135,14852.0598769,14857.0792361,14862.1002916,14867.123044,14872.1474939,14877.1736419,14882.2014884,14887.2310342,14892.2622797,14897.2952256,14902.3298723,14907.3662206,14912.404271,14917.444024,14922.4854802,14927.5286402,14932.5735046
"mdg",450652802,21773.889025,23097.8213879,24502.2536973,25992.0806454,27572.4945395,29249.0033986,31027.450149,32914.0329888,34915.326989,37038.3070092,39290.3720059,41679.3708195,44213.6295286,46901.9804679,49753.7930106,52779.006222,55988.1634993,59392.4493166,63003.7282053,66834.5861038,70898.3742218
"mdg",450652803,23087.4682375,24491.2710373,25980.4301993,27560.1357036,29235.8931001,31013.5426963,32899.2799119,34899.6768708,37021.7053064,39272.7608587,41660.6888499,44193.8116267,46880.9575648,49731.4918378,52755.3490561,55963.0678908,59365.827803,62975.488006,66804.6287968,70866.5954006,75175.5444813
"mdg",450652804,17076.5297614,18114.8454418,19216.2945261,20384.7157571,21624.181287,22939.01087,24333.7869171,25813.3704666,27382.918126,29047.9000434,30814.1189718,32687.7304931,34675.264471,36783.6478091,39020.2285918,41392.8016944,43909.635949,46579.502963,49411.7076899,52416.1208584,55603.2133737
"mdg",450652805,18596.7787699,19727.5311693,20927.0374644,22199.4781445,23549.2878878,24981.1710172,26500.1178959,28111.4223194,29820.6999654,31633.9079652,33557.3656659,35597.7766539,37762.2521183,40058.3356345,42494.0294552,45077.8223991,47818.7194366,50726.273073,53810.6166412,57082.4996179,60553.3250874
"mdg",450652806,8800.42064471,9187.00257061,9590.56613767,10011.8573097,10451.654819,10910.7716058,11390.0563208,11890.394894,12412.7121721,12957.9736285,13527.1871471,14121.4048863,14741.725223,15389.2947834,16065.3105621,16771.0221352,17507.7339696,18276.8078343,19079.6653177,19917.7904553,20792.7324728
"mdg",450652807,11418.616234,11920.2093774,12443.8363362,12990.4650044,13561.1057933,14156.8134994,14778.6892538,15427.8825577,16105.5934072,16813.0745117,17551.6336087,18322.635882,19127.5064845,19967.7331729,20844.8690574,21760.5354727,22716.4249752,23714.304471,24756.0184827,25843.4925579,26978.7368296
"mdg",450652808,2718.65980936,2838.08418546,2962.7545955,3092.90148549,3228.7654244,3370.59754884,3518.66002727,3673.22654458,3834.58280801,4003.02707526,4178.87070577,4362.43873629,4554.07048167,4754.12016209,4962.95755775,5180.96869248,5408.5565472,5646.14180485,5894.16362801,6153.0804706,6423.37092541
"mdg",450652809,4335.88871803,4526.35418313,4725.18635127,4932.7527522,5149.43706037,5375.63980413,5611.77910613,5858.29145618,6115.63251805,6384.27797176,6664.72439284,6957.49017022,7263.11646446,7582.16820803,7915.23514957,8262.93294398,8625.90429046,9004.82012049,9400.380838,9813.317614,10244.3937382
"mdg",450652810,4865.1636336,5078.87890963,5301.98219862,5534.88589404,5778.02050486,6031.83545131,6296.79989558,6573.40360907,6862.1578777,7163.59644698,7478.27650861,7806.77973042,8149.71333156,8507.71120489,8881.43508871,9271.57578992,9678.85446099,10104.0239329,10547.8701067,11011.2134064,11494.9102951
