"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"ago",241482,28533.7035527,28426.8779489,28320.452283,28214.4250577,28108.7947813,28003.5599677,27898.7191364,27794.2708122,27690.2135259,27586.5458133,27483.266216,27380.3732809,27277.8655604,27175.7416124,27074,26972.6392919,26871.658062,26771.0548896,26670.8283593,26570.9770611,26471.4995901
"ago",241483,34368.1788008,34239.5098586,34111.3226323,33983.6153184,33856.3861202,33729.6332477,33603.3549175,33477.5493532,33352.2147846,33227.3494486,33102.9515883,32979.0194537,32855.551301,32732.5453933,32610,32487.9133969,32366.2838665,32245.1096975,32124.3891851,32004.120631,31884.3023429
"ago",241484,30602.5393388,30487.9683461,30373.8262887,30260.1115609,30146.8225628,30033.9577005,29921.5153861,29809.4940376,29697.8920792,29586.7079405,29475.9400574,29365.5868714,29255.6468301,29146.1183866,29037,28928.2901351,28819.9872625,28712.0898585,28604.596405,28497.5053898,28390.8153061
"ago",241485,23024.8881405,22938.6866569,22852.8078978,22767.2506551,22682.0137249,22597.095908,22512.4960099,22428.2128402,22344.2452131,22260.5919474,22177.251866,22094.2237965,22011.5065708,21929.0990251,21847,21765.2083405,21683.7228958,21602.5425195,21521.6660695,21441.092408,21360.8204013
"ago",241486,23449.6160171,23361.8244206,23274.3615017,23187.2260299,23100.4167793,23013.9325287,22927.7720612,22841.9341646,22756.4176313,22671.2212582,22586.3438467,22501.7842025,22417.5411361,22333.6134622,22250,22166.6995732,22083.7110098,22001.0331423,21918.6648074,21836.6048463,21754.8521046
"ago",241487,31213.9496811,33932.3535891,36887.5016413,40100.0117415,43592.297394,47388.7240815,51515.7792621,56002.2571702,60879.4597127,66181.4148606,71945.1140602,78210.7703203,85022.0987762,92426.6216879,100476,109226.393777,118738.854031,129079.748667,140321.225532,152541.715786,165826.481109
"ago",241488,10123.5019135,11005.1515427,11963.5835024,13005.4847189,14138.1244793,15369.4051479,16707.9173018,18162.9996656,19744.8042683,21464.3672724,23333.6859736,25365.8025044,27574.8948288,29976.3756613,32587,35424.9820258,38510.1221815,41863.9453184,45509.8508741,49473.2761289,53781.8736804
"ago",241489,8587.90581815,9335.82131669,10148.8723215,11032.7314441,11993.5653207,13038.0776356,14173.5558932,15407.9222622,16749.7888481,18208.5177794,19794.2865269,21518.1589109,23392.1622932,25429.3714911,27644,30051.4991598,32668.6659584,35513.7602229,38606.6320178,41968.8601377,45623.9026612
"ago",241490,9551.88613046,10383.7540886,11288.0689216,12271.1399838,13339.8261075,14501.5834561,15764.5175462,17137.4397987,18629.9290158,20252.3982117,22016.1672639,23933.541891,26017.8995091,28283.7825654,30747,33424.737544,36335.6776234,39500.1297053,42940.1719957,46679.8054787,50745.121369
"ago",241491,137446.287144,139744.429568,142080.997611,144456.63376,146871.991246,149327.73422,151824.537941,154363.088956,156944.085291,159568.236646,162236.264585,164948.902737,167706.896999,170511.005737,173362,176260.663727,179207.793966,182204.20109,185250.709025,188348.155471,191497.392133
