"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"cod",180876052,305360.137866,306369.490832,307382.180165,308398.216893,309417.61208,310440.376828,311466.522274,312496.059595,313529,314565.354739,315605.135098,316648.3524,317695.018006,318745.143313,319798.739759,320855.818815,321916.391995,322980.470847,324048.06696,325119.191959,326193.85751
"cod",180876053,111553.255132,116221.993871,121086.129163,126153.838763,131433.642687,136934.417528,142665.411385,148636.259408,154857,161338.091691,168090.430723,175125.36937,182454.735019,190090.850061,198046.552606,206335.218062,214970.781629,223967.761725,233341.284392,243107.10873,253281.65339
"cod",180876054,112849.908556,117572.914972,122493.589158,127620.203924,132961.378319,138526.092115,144323.700907,150363.95184,156657,163213.425483,170044.251186,177160.961334,184575.520796,192300.395191,200348.571854,208733.581665,217469.521802,226571.079438,236053.556436,245932.895073,256225.704844
"cod",180876055,210136.374211,218931.024172,228093.748761,237639.952677,247585.685339,257947.667866,268743.321191,279990.795351,291709,303917.636201,316637.229547,329889.164671,343695.721198,358080.111203,373066.518233,388680.13797,404947.220586,421895.11488,439552.314255,457948.504623,477114.614313
"cod",180876056,351810.888376,366534.915224,381875.173614,397857.454136,414508.626768,431856.686054,449930.798169,468761.349953,488380,508819.731883,530114.909605,552301.335379,575416.309812,599498.694621,624588.97797,650729.342536,677963.736429,706337.947082,735899.678227,766698.6301,798786.582993
"cod",180876057,81981.6330778,85412.7371349,88987.4401252,92711.7519665,96591.9341045,100634.510039,104846.276294,109234.313839,113806,118569.020858,123531.384173,128701.432848,134087.858951,139699.718334,145546.445855,151637.871241,157984.235612,164596.208701,171484.906795,178661.911416,186139.2888
"cod",180876058,100855.144023,105076.144275,109473.802279,114055.511536,118828.974977,123802.21792,128983.601557,134381.837015,140006,145865.546054,151970.326455,158330.604777,164957.074146,171860.875218,179053.61491,186547.385911,194354.787015,202488.944304,210963.533212,219792.801519,228991.593305
"cod",180876059,125950.421858,137467.613435,150037.963072,163757.773924,178732.155325,195075.828046,212914.003183,232383.34142,253633,276825.775445,302139.350758,329767.656677,359922.357407,392834.472207,428756.145258,467962.577376,510754.134365,557458.648154,608433.928368,664070.503553,724794.613067
"cod",180876060,152407.990574,166344.522103,181555.441612,198157.282019,216277.232281,236054.111796,257639.433926,281198.566755,306912,334976.727766,365607.757743,399039.758415,435528.856878,475354.601073,518822.101435,566264.36839,618044.863588,674560.284436,736243.603251,803567.384317,877047.404264
"cod",180876061,177060.968275,193251.82387,210923.207938,230210.503353,251261.472703,274237.390326,299314.277846,326684.252706,356557,389161.378903,424747.175991,463587.018888,505978.464908,552246.280676,602744.930213,657861.290532,718017.615558,783674.771067,855335.765446,933549.603306,1018915.49148
"cod",180876062,140910.550898,153795.730527,167859.160138,183208.581576,199961.588842,218246.529002,238203.485466,259985.351188,283759,309706.565055,338026.834172,368936.772782,402673.186121,439494.533436,479682.908069,523546.198617,571420.447707,623672.426465,680702.444398,742947.416218,810884.209111
"cod",180876063,100972.677365,110205.847466,120283.319534,131282.298451,143287.048889,156389.540872,170690.15437,186298.448326,203334,221927.321068,242220.857487,264370.080797,288544.679206,314929.857596,343727.756403,375159.000242,409464.38814,446906.738334,487772.901755,532375.959632,581057.62205
"cod",180876064,243335.740294,265586.911011,289872.779128,316379.40198,345309.850406,376885.7645,411349.051629,448963.739718,490018,534826.354741,583732.086832,637109.869731,695368.637882,758954.719621,828355.256559,904101.935635,986775.062446,1077008.00705,1175492.05628,1282981.70983,1400300.46053
"cod",180876065,95054.3736437,103746.36066,113233.162638,123587.459256,134888.576186,147223.09282,160685.505566,175378.951797,191416,208919.512179,228023.58512,248874.577718,271632.232262,296470.898234,323580.868028,353169.834805,385464.483658,420712.228279,459183.106428,501171.848727,547000.136634
"cod",180876066,317846.379675,346910.971861,378633.296123,413256.381499,451045.480146,492290.099484,537306.220143,586438.716738,640064,698592.900507,762473.816117,832196.147202,908294.046009,991350.508879,1082001.84266,1180942.53952,1288930.59759,1406793.32805,1535433.69328,1675837.2246,1829079.57253
"cod",180876067,181991.067229,198632.742229,216796.169648,236620.501971,258257.6161,281873.276906,307648.407173,335780.473677,366485,399997.217688,436573.868394,476495.170807,520066.967446,567623.067766,619527.805509,676178.829923,738010.1522,805495.470498,879151.799009,959543.42887,1047286.25128
"cod",180876068,174458.861252,190411.774293,207823.457801,226827.305049,247568.907091,270207.168159,294915.523044,321883.265811,351317,383442.221446,418505.045834,456774.094226,498542.550998,544130.409971,593886.925926,648193.29029,707465.551497,772157.80239,842765.659092,919830.057984,1003941.39989
"cod",180876069,282858.965094,308724.22892,336954.670999,367766.568582,401395.975801,438100.532114,478161.436111,521885.599821,569608,621694.244438,678543.37293,740590.91437,808312.223401,882226.122171,962898.875099,1050948.5271,1147049.63852,1251938.45303,1366418.53808,1491366.94116,1627740.90895
"cod",180876070,63020.6484848,68783.3991864,75073.1088523,81937.9638024,89430.5566231,97608.2890856,106533.811909,116275.504737,126908,138512.75469,151178.674407,165002.794485,180091.023383,196558.954075,214532.749612,234150.109685,255561.325553,278930.43145,304436.46127,332274.820173,362658.781606
"cod",180876071,198883.40971,217069.75873,236919.108658,258583.528058,282228.990991,308036.648559,336204.216734,366947.491081,400502,437124.809143,477096.490824,520723.273527,568339.387959,620309.627642,677032.14364,738941.494854,806511.977233,880261.25742,960754.338668,1048607.88941,1144494.96762
"cod",180876072,60594.8292469,66135.7575482,72183.3608715,78783.9707273,85988.1552843,93851.1067789,102433.064351,111799.775542,122023,133181.059236,145359.436656,158651.432466,173158.87845,188992.918122,206274.858212,225137.098009,245724.143694,268193.715422,292717.955634,319484.747864,348699.156144
"cod",180876073,118457.942705,129290.005035,141112.575655,154016.228884,168099.821364,183471.249408,200248.275616,218559.431064,238545,260358.094584,284165.827895,310150.594213,338511.466361,369465.720835,403250.502381,440124.640801,480370.633877,524296.811629,572239.698472,624566.591374,681678.373769
"cod",180876074,97542.7626306,106462.293567,116197.446595,126822.804046,138419.768224,151077.185049,164892.02471,179970.12457,196427,214388.729358,233992.919893,255389.761971,278743.179706,304232.086803,332051.757242,362415.321296,395555.398355,431725.87905,471203.870347,514291.818499,561319.826131
"cod",180876075,155790.233119,170036.04456,185584.525235,202554.794166,221076.862889,241292.631487,263356.975712,287438.933499,313723,342410.541018,373721.335701,407895.2603,445194.125894,485903.684158,530335.816548,578830.923666,631760.533115,689530.145821,752582.342635,821400.175001,896510.865681
"cod",180876076,234612.226158,256065.699003,279480.925949,305037.294232,332930.59466,363374.521597,396602.310101,432868.522775,472451,515652.98851,562805.464607,614269.669817,670439.878404,731746.417968,798658.966235,871690.149326,951399.469056,1038397.58935,1133351.01462,1236987.19596,1350100.10424
"cod",180876077,279335.692322,304878.780113,332757.585651,363185.692252,396396.213775,432643.580534,472205.488531,515385.026917,562513,613950.461584,670091.481048,731366.162369,798243.939204,871237.171284,950905.069677,1037857.98097,1132762.06323,1236344.38953,1349398.51813,1472790.57207,1607465.87463
"cod",180876078,85033.8117293,88841.0628455,92818.7774605,96974.5878012,101316.467815,105852.74847,110592.13374,115543.717305,120717,126121.908044,131768.812086,137668.547105,143832.433199,150272.297304,157000.495888,164029.93866,171374.11334,179047.111539,187063.655799,195439.127836,204189.59806
"cod",180876079,95134.9976451,99394.512991,103844.741234,108494.221234,113351.874166,118427.020636,123729.398565,129269.181873,135057,141103.958305,147421.659368,154022.225257,160918.320788,168123.177821,175650.620651,183515.092535,191731.683403,200316.158811,209284.990193,218655.386467,228445.327047
"cod",180876080,88488.1578175,91860.2805398,95360.9087247,98994.9394816,102767.45654,106683.737361,110749.260519,114969.713369,119351,123899.249494,128620.824503,133522.330145,138610.623252,143892.821952,149376.315636,155068.775289,160978.164224,167112.749221,173481.112093,180092.161688,186955.146358
"cod",180876081,68699.8951959,71317.9232273,74035.7195444,76857.0861351,79785.9698741,82826.4680444,85982.8340688,89259.4834606,92661,96192.1421469,99857.8496974,103663.250694,107613.6686,111714.629747,115971.871062,120391.3481,124979.243367,129741.974978,134686.205626,139818.851909,145147.094006
"cod",180876082,81872.546451,84992.5602588,88231.4721172,91593.8130144,95084.2866066,98707.7757978,102469.34957,106374.270077,110428,114636.210196,119004.787628,123539.843598,128247.722302,133135.009699,138208.542727,143475.41887,148943.006082,154618.953096,160511.200125,166627.98997,172977.879549
"cod",180876083,598666.490476,621480.581371,645164.075769,669750.105054,695273.06319,721768.654831,749273.94527,777827.412292,807469,838240.174693,870183.982876,903345.11148,937769.950369,973506.657246,1010605.22501,1049117.55171,1089097.51311,1130601.03812,1173686.18696,1218413.23245,1264844.74428
"cod",180876084,265756.589431,275884.089607,286397.530391,297311.619277,308641.624237,320403.395076,332613.385604,345288.67666,358447,372106.763106,386287.074934,401007.772651,416289.449378,432153.483006,448622.066097,465718.236931,483465.911735,501889.91814,521016.029914,540871.003014,561482.61302
"cod",180876085,320404.519791,332614.553181,345289.888731,358448.258261,372108.069317,386288.430922,401009.180313,416290.910684,432155,448623.640901,465719.871747,483467.608851,501891.679931,521017.858843,540872.90164,561484.584,582881.740078,605094.302851,628153.345983,652091.127301,676941.133919
"cod",180876086,202893.082522,210624.968806,218651.503211,226983.914242,235633.858299,244613.435988,253935.209048,263612.217922,273658,284086.608559,294912.632418,306151.216353,317818.082277,329929.551238,342502.566248,355554.715989,369104.259412,383170.151287,397772.068714,412930.43865,428666.46649
"cod",180876087,69637.0388435,72290.7797145,75045.6498225,77905.5030189,80874.3400182,83956.3139947,87155.736393,90477.0829587,93925,97504.3108875,101220.022802,105077.333738,109081.639776,113238.542634,117553.857497,122033.621159,126684.100466,131511.801079,136523.47658,141726.137917,147127.063214
"cod",180876088,164048.330047,170299.913479,176789.733383,183526.868517,190520.743616,197781.142572,205318.222124,213142.526067,221265,229697.006639,238450.341711,247537.25046,256970.444771,266763.120956,276928.978217,287482.237805,298437.662918,309810.579353,321616.896944,333873.131821,346596.429514
"cod",180876089,265928.59681,276062.651873,286582.89734,297504.050224,308841.388378,320610.771864,332828.665145,345512.160112,358679,372347.604204,386537.094048,401267.319538,416558.887126,432433.188536,448912.430696,466019.666796,483778.828544,502214.75964,521353.250532,541221.074497,561846.02509
"cod",180876090,173175.842267,179775.258585,186626.166654,193738.150366,201121.15884,208785.520337,216741.956707,225001.598394,233576,242477.156453,251717.519786,261310.016557,271268.065929,281605.598447,292337.075525,303477.509672,315042.485498,327048.181515,339511.392767,352449.554328,365880.765689
"cod",180876091,360405.873603,374140.285818,388398.091498,403199.236215,418564.425633,434515.154467,451073.736561,468263.336097,486108,504632.691583,523863.325463,543826.803817,564551.054015,586065.067687,608398.941284,631583.918175,655652.432359,680638.153834,706576.035702,733502.363064,761454.803779
"cod",180876092,363782.259814,377645.339966,392036.716883,406976.522995,422485.65794,438585.817804,455299.525473,472650.162137,490662,509360.236238,528771.028245,548921.530225,569839.931178,591555.494338,614098.598106,637500.77855,661794.773519,687014.568443,713195.443872,740374.024838,768588.332082
"cod",180876093,370147.274224,384252.913496,398896.093021,414097.297479,429877.792186,446259.652839,463265.796401,480920.013158,499247,518272.394971,538022.813135,558525.883806,579810.289202,601905.804569,624843.339832,648654.982837,673374.044241,699035.104107,725674.060284,753328.17862,782036.1451
"cod",180876094,179895.9926,186751.501623,193868.261623,201256.2284,208925.737152,216887.51693,225152.705652,233732.865681,242640,251886.569005,261485.507933,271450.244962,281794.719992,292533.404148,303681.320022,315254.06269,327267.821528,339739.402862,352686.253472,366126.485007,380078.899316
"cod",180876095,114829.753272,119205.706278,123748.418893,128464.246022,133359.784743,138441.88354,143717.651877,149194.470148,154880,160782.195052,166909.312021,173269.922271,179872.923807,186727.553719,193843.401108,201230.420497,208898.945756,216859.704563,225123.833407,233702.893166,242608.885287
"cod",180876096,159126.843075,165190.877591,171486.001432,178021.02099,184805.078255,191847.663601,199158.629064,206748.202121,214627,222806.044534,231296.777576,240111.077009,249261.273359,258760.167046,268621.046292,278857.705708,289484.465592,300516.191963,311968.317359,323856.86242,336198.458307
"cod",180876097,135790.928275,140965.67353,146337.618912,151914.27936,157703.456194,163713.248025,169952.062091,176428.626011,183152,190131.589541,197377.158543,204898.842999,212707.165167,220813.048288,229227.831869,237963.287544,247031.635545,256445.561791,266218.235641,276363.328314,286895.032013
"cod",180876098,62913.1814544,65310.6883519,67799.5598759,70383.277766,73065.4564449,75849.8480739,78740.3478027,81740.9992179,84856,88089.7077953,91446.6463121,94931.511649,98549.1788645,102304.708797,106203.355142,110250.571808,114452.020539,118813.578838,123341.348189,128041.662594,132921.09743
"cod",180876099,148872.857997,154932.980691,161239.79098,167803.330699,174634.050457,181742.826273,189140.976889,196840.281799,204853,213191.889513,221870.227696,230901.832384,240301.08389,250082.947902,260262.999313,270857.447018,281883.159722,293357.6928,305299.316248,317727.043773,330660.663069
"cod",180876100,124036.854023,129085.984967,134340.649367,139809.213812,145500.385467,151423.225935,157587.165691,164002.019091,170678,177625.738058,184856.295601,192381.185278,200212.388377,208362.373907,216844.11845,225671.126819,234857.453565,244417.725353,254367.164253,264721.611971,275497.555082
"cod",180876101,169644.260062,176549.917979,183736.682437,191215.996357,198999.768461,207100.392237,215530.765671,224304.311783,233435,242937.368399,252826.546852,263118.281121,273828.957925,284975.631031,296576.048409,308648.680491,321212.74958,334288.260454,347896.03222,362057.731462,376795.90674
"cod",180876102,147369.97998,153368.925471,159612.068233,166109.348732,172871.112076,179908.124488,187231.590449,194853.17054,202785,211039.708059,219630.438038,228570.868281,237875.233932,247558.349599,257635.632945,268123.129237,279037.536889,290396.234053,302217.30629,314519.575362,327322.629204
"cod",180876103,308004.239244,320542.075257,333590.285193,347169.644689,361301.775092,376009.177881,391315.270496,407244.423623,423822,441074.394797,459029.077645,477714.636372,497160.822523,517398.598731,538460.188013,560379.125081,583190.309734,606930.062425,631636.182096,657348.006357,684106.474121
"cod",180876104,86203.280742,89712.3317874,93364.2247193,97164.7741593,101120.031423,105236.294156,109520.116359,113978.318826,118618,123446.547282,128471.648787,133701.305589,139143.844458,144807.931123,150702.584061,156837.188864,163221.513182,169865.722272,176780.395185,183976.541609,191465.619404
"cod",180876105,156730.991456,163110.992828,169750.702999,176660.693856,183851.967635,191335.974435,199124.63045,207230.336946,215666,224445.051055,233581.468304,243089.798943,252985.182341,263283.374138,274000.771333,285154.438396,296762.134431,308842.341462,321414.29385,334498.008926,348114.31886
"cod",180876106,142572.834048,148376.503561,154416.421305,160702.204165,167243.8605,174051.806073,181136.880641,188510.36521,196184,204170.003135,212481.090101,221130.493986,230131.986555,239499.900178,249249.150646,259395.260923,269954.385862,280943.337927,292379.613961,304281.423048,316667.715501
"cod",180876107,112659.893022,117245.905433,122018.599274,126985.573728,132154.737319,137534.320499,143132.888755,148959.356247,155023,161333.474677,167900.827951,174735.516501,181848.422663,189250.87176,196954.650127,204972.023886,213315.758469,221999.138948,231035.991188,240440.703855,250228.251336
"cod",180876108,131283.080669,136627.181583,142188.823208,147976.860907,154000.510518,160269.363023,166793.399823,173583.008629,180649,188002.624559,195655.590902,203620.084248,211908.78583,220534.893097,229512.14072,238854.822465,248577.813948,258696.596324,269227.280933,280186.634956,291592.10811
